City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
78,Atok,16.5724,120.6808,58.91,92,74,2.15,PH,broken clouds
79,Tasiilaq,65.6145,-37.6368,15.8,62,90,23.02,GL,light snow
80,Buta,2.7858,24.73,71.92,80,91,2.26,CD,overcast clouds
81,Pevek,69.7008,170.3133,-16.49,96,73,3.94,RU,broken clouds
82,Tuatapere,-46.1333,167.6833,57.0,95,100,4.0,NZ,light rain
83,Vanimo,-2.6741,141.3028,77.02,89,100,4.09,PG,overcast clouds
84,Torbay,47.6666,-52.7314,28.99,100,90,31.07,CA,snow
85,Wawa,9.9022,4.4192,86.0,21,5,5.01,NG,clear sky
86,Busselton,-33.65,115.3333,54.0,94,0,8.19,AU,clear sky
87,Sao Filipe,14.8961,-24.4956,69.75,73,1,17.16,CV,clear sky
88,Laguna,38.421,-121.4238,73.99,32,1,2.17,US,clear sky
89,Carnarvon,-24.8667,113.6333,75.2,78,40,5.75,AU,scattered clouds
90,Dudinka,69.4058,86.1778,-4.83,95,10,7.45,RU,clear sky
91,Isabela,6.7085,121.9711,78.73,85,100,1.68,PH,overcast clouds
92,Hobart,-42.8794,147.3294,53.01,82,40,9.22,AU,scattered clouds
93,Saskylakh,71.9167,114.0833,-15.54,100,100,0.47,RU,overcast clouds
94,Susanino,58.1461,41.5872,31.57,98,100,2.59,RU,overcast clouds
95,Itarema,-2.9248,-39.9167,77.04,83,45,8.14,BR,scattered clouds
96,San Cristobal,7.7669,-72.225,75.2,94,75,9.22,VE,fog
97,Georgetown,5.4112,100.3354,82.4,89,20,1.14,MY,few clouds
98,Sitka,57.0531,-135.33,37.4,75,90,6.91,US,snow
99,Lillooet,50.6856,-121.942,53.6,47,40,24.16,CA,scattered clouds
100,Linjiang,41.8069,126.9078,44.29,89,100,1.66,CN,light rain
101,Tiksi,71.6872,128.8694,5.63,98,100,3.49,RU,overcast clouds
102,Hami,42.8,93.45,53.71,51,100,7.29,CN,overcast clouds
103,Batemans Bay,-35.7167,150.1833,55.0,95,66,3.0,AU,broken clouds
104,Chisinau,47.0056,28.8575,37.4,70,20,3.44,MD,light rain
105,Ambon,-3.6954,128.1814,77.0,88,40,2.3,ID,light rain
106,Port Alfred,-33.5906,26.891,65.75,68,56,13.58,ZA,broken clouds
107,Lubango,-14.9172,13.4925,61.09,91,100,0.29,AO,overcast clouds
108,Morro Bay,35.3658,-120.8499,73.0,63,0,4.0,US,clear sky
109,Touros,-5.1989,-35.4608,78.8,89,75,4.61,BR,broken clouds
110,Zyryanovsk,49.7386,84.2719,23.56,98,94,2.44,KZ,light snow
111,Punta Cardon,11.6581,-70.215,80.96,64,0,30.87,VE,clear sky
112,La Palma,33.8464,-118.0467,80.01,40,1,9.22,US,clear sky
113,Tubuala,9.5167,-79.0333,89.6,48,20,14.97,PA,few clouds
114,Young,-32.6833,-57.6333,66.99,86,93,1.99,UY,overcast clouds
115,Khatanga,71.9667,102.5,2.23,96,100,7.92,RU,overcast clouds
116,Ust-Kuyga,70.0167,135.6,-1.26,99,100,4.09,RU,overcast clouds
117,Pastos Bons,-6.6017,-44.0767,76.55,82,81,4.52,BR,moderate rain
118,Iracoubo,5.4802,-53.2011,77.95,85,90,11.07,GF,overcast clouds
119,Lensk,60.7253,114.9278,11.97,95,95,4.45,RU,overcast clouds
120,Bahia Blanca,-38.7196,-62.2724,65.97,46,0,13.0,AR,clear sky
121,Lebu,-37.6167,-73.65,59.4,74,23,18.88,CL,few clouds
122,Fortuna,40.5982,-124.1573,66.99,77,20,10.36,US,few clouds
123,Barra Do Bugres,-15.0725,-57.1811,86.11,58,16,2.04,BR,few clouds
124,Lavrentiya,65.5833,-171.0,-6.16,83,10,1.83,RU,clear sky
125,Vila Velha,-20.3297,-40.2925,82.4,74,0,8.05,BR,clear sky
126,Albany,42.6001,-73.9662,57.99,43,68,1.01,US,broken clouds
127,Narsaq,60.9167,-46.05,10.4,37,75,4.61,GL,broken clouds
128,Quimper,48.0,-4.1,46.4,81,75,3.44,FR,broken clouds
129,Butaritari,3.0707,172.7902,81.68,77,91,13.96,KI,overcast clouds
130,Zhireken,52.8249,117.3076,25.45,89,100,10.83,RU,overcast clouds
131,Kautokeino,69.0125,23.0412,34.14,98,100,18.99,NO,overcast clouds
132,Kattivakkam,13.2167,80.3167,80.6,78,40,3.44,IN,mist
133,Iqaluit,63.7506,-68.5145,-7.01,64,75,1.54,CA,broken clouds
134,Opuwo,-18.0607,13.84,72.3,65,94,3.62,NA,overcast clouds
135,Kichera,55.9375,110.0997,11.79,84,19,5.41,RU,few clouds
136,Lodja,-3.4833,23.4333,75.22,75,98,2.21,CD,overcast clouds
137,Katsuura,35.1333,140.3,62.01,68,100,5.99,JP,light rain
138,Mount Isa,-20.7333,139.5,78.8,27,52,13.8,AU,broken clouds
139,Lasa,46.6166,10.7002,57.2,75,0,4.61,IT,clear sky
140,Isla Vista,34.4133,-119.861,73.0,35,1,10.36,US,clear sky
141,Sao Joao Da Barra,-21.6403,-41.0511,84.2,61,0,16.11,BR,clear sky
142,Villa Maria,-32.4075,-63.2402,69.01,64,27,5.01,AR,scattered clouds
143,Kryve Ozero,47.9524,30.3493,45.88,61,94,5.06,UA,overcast clouds
144,Aklavik,68.2191,-135.0107,-5.8,65,75,8.05,CA,light snow
145,Tual,-5.6667,132.75,81.81,77,100,8.95,ID,moderate rain
146,Ilulissat,69.2167,-51.1,-9.4,45,20,10.36,GL,few clouds
147,Sarkand,45.41,79.9186,47.17,66,100,5.77,KZ,light rain
148,Kaitangata,-46.2817,169.8464,63.0,85,100,3.47,NZ,light rain
149,Cherskiy,68.75,161.3,-12.53,93,34,5.19,RU,scattered clouds
150,Goderich,43.7501,-81.7165,39.2,87,100,10.36,CA,overcast clouds
151,San Policarpo,12.1791,125.5072,79.79,82,97,9.6,PH,overcast clouds
152,Cape Town,-33.9258,18.4232,62.6,63,0,19.57,ZA,clear sky
153,Kenora,49.8167,-94.4337,37.4,35,75,16.11,CA,broken clouds
154,Pinillos,8.9193,-74.4677,91.83,44,100,3.13,CO,overcast clouds
155,Raga,8.4596,25.678,80.08,17,100,3.02,SS,overcast clouds
156,Norman Wells,65.282,-126.8329,10.4,72,90,9.22,CA,light snow
157,Digby,44.6169,-65.7655,33.8,80,100,5.75,CA,overcast clouds
158,Olafsvik,64.8945,-23.7142,27.21,70,100,44.54,IS,snow
159,Jamestown,42.097,-79.2353,64.99,41,1,9.86,US,clear sky
160,Taunggyi,20.7833,97.0333,62.01,37,15,1.45,MM,few clouds
161,Beira,-19.8436,34.8389,80.6,89,20,5.75,MZ,few clouds
162,Kodiak,57.79,-152.4072,33.8,47,75,23.02,US,broken clouds
163,Den Helder,52.9599,4.7593,44.01,93,90,9.22,NL,overcast clouds
164,Tuktoyaktuk,69.4541,-133.0374,-16.6,76,90,4.61,CA,overcast clouds
165,Los Llanos De Aridane,28.6585,-17.9182,66.2,72,40,12.91,ES,scattered clouds
166,Uwajima,33.2238,132.56,61.27,90,100,16.78,JP,overcast clouds
167,Aykhal,66.0,111.5,-2.25,100,100,4.79,RU,overcast clouds
168,Guider,9.9342,13.9486,85.77,13,65,8.59,CM,broken clouds
169,Saint-Joseph,-21.3667,55.6167,77.0,88,90,3.44,RE,overcast clouds
170,Wattegama,6.7989,81.4808,73.33,83,72,2.17,LK,broken clouds
171,Sheffield Lake,41.4875,-82.1015,64.4,45,1,12.66,US,clear sky
172,Kahului,20.8947,-156.47,80.6,61,20,20.71,US,few clouds
173,Karratha,-20.7377,116.8463,82.15,69,98,8.03,AU,overcast clouds
174,Broken Hill,-31.95,141.4333,53.6,71,17,5.75,AU,few clouds
175,Mocuba,-16.8392,36.9856,73.04,94,14,3.74,MZ,light rain
176,Tambovka,50.0969,128.0489,32.0,100,75,4.47,RU,broken clouds
177,Ouesso,1.6136,16.0517,75.24,67,49,0.83,CG,scattered clouds
178,Puga,21.5833,-104.8167,86.0,30,20,9.22,MX,few clouds
179,Plerin,48.5425,-2.7798,46.0,76,0,4.61,FR,clear sky
180,Oliveira Dos Brejinhos,-12.3169,-42.8961,82.26,32,32,3.04,BR,scattered clouds
181,Daitari,21.1,85.75,72.55,68,1,1.03,IN,clear sky
182,Nieuw Amsterdam,5.8833,-55.0833,86.0,66,40,9.22,SR,scattered clouds
183,Pacific Grove,36.6177,-121.9166,75.2,22,1,9.22,US,clear sky
184,Namibe,-15.1961,12.1522,74.61,78,100,7.63,AO,overcast clouds
185,Clyde River,70.4692,-68.5914,1.4,66,75,1.25,CA,broken clouds
186,Badiraguato,25.3667,-107.5167,88.0,23,1,9.22,MX,clear sky
187,Atuona,-9.8,-139.0333,80.37,80,58,20.11,PF,broken clouds
188,Guaranda,-1.6,-79.0,55.65,98,100,5.21,EC,moderate rain
189,Tahta,26.7693,31.5021,59.0,33,0,12.66,EG,clear sky
190,Sterling,39.0062,-77.4286,72.0,37,90,10.36,US,overcast clouds
191,Sisimiut,66.9395,-53.6735,-7.46,89,65,8.23,GL,broken clouds
192,Nemuro,43.3236,145.575,35.11,81,99,15.9,JP,overcast clouds
193,Kavieng,-2.5744,150.7967,82.2,76,100,14.09,PG,overcast clouds
194,Gazojak,41.1875,61.4036,53.91,44,81,8.84,TM,broken clouds
195,Urumqi,43.801,87.6005,46.4,71,0,4.47,CN,clear sky
196,Boyolangu,-8.1181,111.8935,75.15,91,99,2.19,ID,overcast clouds
